timestamp,function,workload,pressure,queue_length_dominant,utilization,theoretical_utilization,response_time,service_time
1750843552.6595058,deepspeech,0.05555555555555555,2.0621482456927707,0.9995523443341976,0.6294665425009022,0.5227238776555556,19.541083570666668,7.840858164833333
1750843624.8630128,deepspeech,0.08750000000000001,0.8382505547863044,2.18778721582719,0.5943600066685267,1.0098048393,36.84436461191666,11.553207152416668
1750843697.0680263,deepspeech,0.07083333333333332,1.236809747609308,5.4342346038404825,1.0111673361213547,0.8339747616583333,75.42445223633334,11.748878395666665
1750843769.2834744,deepspeech,0.06111111111111111,1.345217501195397,3.7280398931468723,0.9502024682947705,0.72117542705,55.55456696583334,11.739348065500002
1750843841.4998138,deepspeech,0.09999999999999999,1.069220838360977,2.681758625769333,1.00904636222485,1.1801118473777776,43.31641522683333,11.788192141166668
1750843913.700963,deepspeech,0.05555555555555555,0.7554730568648013,3.3565304701413763,0.836295252466063,0.6530145213888889,51.388674583000004,11.730016947000003
1750843985.8955169,deepspeech,0.03888888888888888,0.8390546464232216,2.3943985761873723,0.6385711464532923,0.45694100997777776,40.14551254883333,11.7955346555
1750844058.0925753,deepspeech,0.07222222222222222,0.9027435937300292,2.5271133488219815,0.41535203451934627,0.8499514652222221,41.51627335300001,11.769208257333332
1750844130.3063903,deepspeech,0.09444444444444444,1.351525289121537,3.990080008441403,1.0069035739761445,1.1136510371250001,58.22011304958334,11.6820223345
1750844202.5064123,deepspeech,0.09999999999999999,0.8297601672684435,5.517598035739045,1.0079877890642233,1.1689988672999998,75.71926976325001,11.65424233175
1750844274.702966,deepspeech,0.1111111111111111,0.9364148752502311,5.979914282160266,1.0065202735944,1.2851838145333332,80.53845295541667,11.563141393166667
1750844346.9132504,deepspeech,0.05277777777777778,1.1870327287786004,6.96946564187166,1.0085806932692403,0.6206793586277778,93.16066496799999,11.680299842833334
1750844419.1121018,deepspeech,0.01944444444444444,1.038599427994687,3.975826713587739,0.7559881911872092,0.23003136672500002,58.23502961883332,11.663976350666665
1750844491.3145585,deepspeech,0.012499999999999999,1.0,0.06487878342522833,0.1683951963776511,0.1439933500875,12.266837077,11.519468007
1750844563.5186443,deepspeech,0.022222222222222223,1.1638691057715447,0.8571856508864513,0.16847338377943818,0.2589860807944444,21.5223967905,11.620231963833334
1750844635.7225542,deepspeech,0.0,1.0,1.0286221079123883,0.00012572946884707723,0.0,23.43453836,11.551948620000003
1750844707.9177392,deepspeech,0.0,1.0,1.0286221079123883,0.00011543356141068114,0.0,23.43453836,11.551948620000003
1750844780.1104965,deepspeech,0.0,1.0,1.0286221079123883,0.00011876157793215676,0.0,23.43453836,11.551948620000003
1750844852.3070633,deepspeech,0.0,1.0,1.0286221079123883,0.00011824047251667311,0.0,23.43453836,11.551948620000003
1750844924.509089,deepspeech,0.0,1.0,1.0286221079123883,0.00011428663828129903,0.0,23.43453836,11.551948620000003
1750844996.7058122,deepspeech,0.0,1.0,1.0286221079123883,0.0001089262927304408,0.0,23.43453836,11.551948620000003
1750845068.914249,deepspeech,0.011111111111111112,0.8057646231250305,0.5143127299878515,0.16816006317017673,0.13044110481666668,17.618430479999997,11.677115829000002
1750845141.1164546,deepspeech,0.016666666666666666,1.0692958307659015,0.08352862240705333,0.33469376267011114,0.19644279696666667,12.767865698833333,11.794425427999998
1750845213.31702,deepspeech,0.022222222222222223,1.0,1.002278337969394,0.16715714627589048,0.25897693217777773,23.334475559999998,11.653961948000001
1750845285.5142157,deepspeech,0.03333333333333333,1.3068831162034356,1.4831919184072466,0.3361494137840708,0.3932286540916667,29.314521930499996,11.800424678833332
1750845357.7216113,deepspeech,0.041666666666666664,0.9932016172763616,1.4725607428990453,0.5028452186106184,0.4869985354750001,28.96583067025,11.699537878666666
1750845429.9295819,deepspeech,0.05555555555555555,0.9023540477125086,1.4438655787619725,0.6711593974612269,0.6503053358750001,28.69241789466666,11.706081110166666
1750845502.1296,deepspeech,0.10416666666666667,0.8821395090325076,2.8843618549297507,0.5878548845360484,1.2130076385805557,44.92679160641666,11.595147562333333
1750845574.3369844,deepspeech,0.10416666666666667,1.3510474331514477,4.012054555092832,1.0075717819865726,1.2135732587777779,58.090408794750005,11.616267803083332
1750845646.5459118,deepspeech,0.05555555555555555,1.0460849949748037,8.975099800264937,1.0007043804694575,0.6594126564097222,116.71415282041666,11.72110345858333
1750845718.7510579,deepspeech,0.08333333333333333,0.9125283158702868,6.132978933388931,1.008772685136465,0.9757924044,84.05443381733333,11.7526200095
1750845790.9613223,deepspeech,0.09999999999999999,0.8986126598990228,4.592539090184148,1.0038010071398906,1.1737768067,65.19468519949999,11.655755994166666
1750845863.1653564,deepspeech,0.059722222222222225,1.236998684719282,5.875603148353638,1.0062946439529192,0.6906282560194444,79.92309857516666,11.636606344166667
1750845935.3719742,deepspeech,0.04305555555555555,1.0012210411686626,4.6787446756072795,0.9220731702284347,0.5002837182583333,66.27160797508331,11.647183073666666
1750846007.5668802,deepspeech,0.03333333333333333,1.3030397461669116,1.5108020105136373,0.3293356553121676,0.38674492308333336,28.838875024166672,11.534621923333335
1750846079.787046,deepspeech,0.1111111111111111,1.1108982775234184,1.8422646573869572,0.9230286216596871,1.301889873111111,33.24241444041667,11.709747044833334
1750846151.9900603,deepspeech,0.022222222222222223,0.8260924878142525,3.779715033938098,0.668491722079897,0.262464269325,56.75359636533332,11.82098794041667
1750846224.1890166,deepspeech,0.005555555555555556,1.0,1.3692337970846415,0.0001229590233493435,0.06517908173333334,27.796406995,11.732234712000002
