timestamp,function,workload,pressure,queue_length_dominant,utilization,theoretical_utilization,response_time,service_time,n_instances
1753379594.6777606,deepspeech,0.13194444444444445,0.019668989465750002,2.140986784545301e-06,0.6287767866857358,0.6932331419166666,19.66898946575,19.668947403999997,1
1753379655.7188597,deepspeech,0.28611111111111115,0.043610724915250004,1.2424993348307534,0.7411636628801196,0.9166666666666666,43.610724915249996,19.57702591125,4
1753379715.8051627,deepspeech,0.4749999999999999,0.10789461904341668,4.080953038365423,0.8163611981444246,0.8657139203870369,107.89461904341665,21.389771133500005,9
1753379775.8415613,deepspeech,0.5541666666666666,0.09405195909916665,2.9903349148442526,0.9687725699484019,0.9267270639466666,94.0519590991667,23.96233062391667,10
1753379835.874461,deepspeech,0.5125,0.11604007314350001,4.452508911182652,1.0,0.892815229383611,116.04007314349998,22.43261590175,10
1753379895.8807895,deepspeech,0.7388888888888889,0.1196742208195833,4.483013149087418,0.999719423485816,0.9379001157654168,119.67422081958331,22.260102206083335,10
1753379955.9004164,deepspeech,0.923611111111111,0.13429981990608336,5.000044612582688,1.0,0.9699736594890278,134.29981990608331,22.39239202483333,10
1753380015.936838,deepspeech,0.8055555555555557,0.14596244384158338,5.716527291439447,0.99987167102066,0.9707337240066667,145.96244384158334,21.73128114708334,10
1753380075.973702,deepspeech,0.7319444444444446,0.18049007855308333,7.241153616825343,1.0,0.9802331954033333,180.49007855308335,21.896203534583332,10
1753380135.9901366,deepspeech,0.5847222222222223,0.212610243904,9.294209502981237,0.9998899715483484,0.9772890412222223,212.610243904,21.05796516741667,10
1753380196.0272717,deepspeech,0.715277777777778,0.24219186150258334,10.21532119985732,0.9998648041395227,0.9558017640533333,242.19186150258335,21.599188241416666,10
1753380256.059984,deepspeech,0.9027777777777778,0.2823566996594167,12.052941317601485,0.9995569490071189,1.0,282.3566996594166,21.638172276333336,10
1753380316.0890617,deepspeech,0.6930555555555555,0.30264182923008337,12.914592720506361,1.0,1.0,302.6418292300834,21.75329050325,10
1753380376.103068,deepspeech,0.5097222222222223,0.3173398530281666,13.658247875100924,0.9998294672703972,0.9915774660486111,317.3398530281666,21.64891749425,10
1753380436.1478457,deepspeech,0.5180555555555555,0.36196211159133335,15.493926147322332,1.0,0.9829736915625,361.96211159133327,21.937653994666665,10
1753380496.166088,deepspeech,0.4319444444444443,0.362749232031,15.531555609693704,0.9999859933315203,0.877589797648889,362.749232031,21.94689650566667,10
1753380556.2029767,deepspeech,0.2916666666666667,0.36849764723125,16.024937343844737,1.0,0.6314074516613887,368.4976472312499,21.645752183083335,10
1753380616.223699,deepspeech,0.19027777777777774,0.422793501066,19.506130649632002,1.0,0.4027009073152778,422.79350106600003,21.043495750583332,10
1753380676.2613163,deepspeech,0.07222222222222222,0.42206202005883325,18.32675177325076,1.0,0.1584607071756944,422.0620200588334,21.841382316166662,10
1753380736.282662,deepspeech,0.05833333333333333,0.4818353012475,20.838302293407853,0.9998296494491189,0.12956720279499997,481.83530124749996,22.06354813675,10
1753380796.311363,deepspeech,0.049999999999999996,0.48150673506525005,20.795942793691427,1.0,0.11109970898,481.50673506525004,22.096636661833333,10
1753380856.3439102,deepspeech,0.0,0.5070050391374165,22.47177679674699,1.0,0.0,507.00503913741665,21.60069639433333,10
1753380916.3736045,deepspeech,0.0,0.5123068715025835,22.526620109519186,0.9993849686280593,0.0,512.3068715025832,21.77996065725,10
1753380976.39665,deepspeech,0.0,0.5218777984599999,23.52690382815705,0.9999788838415361,0.0,521.8777984599999,21.366863958333337,10
1753381036.4383533,deepspeech,0.0,0.5018673647860833,22.015016303863675,1.0,0.0,501.86736478608333,21.806692878333337,10
1753381096.4062176,deepspeech,0.0,0.3839624456976667,17.55071476490458,0.2396359635788263,0.0,383.9624456976667,20.65395853283333,4
1753381156.4219058,deepspeech,0.0,0.36030150623600005,16.97629845952878,0.00011930151941392175,0.0,360.301506236,20.043142198999995,2
1753381216.4560347,deepspeech,0.0,0.36030150623600005,16.97629845952878,0.00011738668383707742,0.0,360.301506236,20.043142198999995,2
1753381276.488972,deepspeech,0.0,0.36030150623600005,16.97629845952878,0.00012801406207548407,0.0,360.301506236,20.043142198999995,2
1753381336.5103674,deepspeech,0.0,0.36030150623600005,16.97629845952878,0.00011603138102784946,0.0,360.301506236,20.043142198999995,2
1753381396.5425262,deepspeech,0.0,0.36030150623600005,16.97629845952878,0.00012129883175932499,0.0,360.301506236,20.043142198999995,2
1753381456.5725439,deepspeech,0.0,0.36030150623600005,16.97629845952878,0.00012071346602535166,0.0,360.301506236,20.043142198999995,2
1753381516.6019735,deepspeech,0.0,0.36030150623600005,16.97629845952878,0.00012171212628850541,0.0,360.301506236,20.043142198999995,2
1753381576.6337206,deepspeech,0.0,0.36030150623600005,16.97629845952878,0.0001152958849540932,0.0,360.301506236,20.043142198999995,2
1753381636.6649787,deepspeech,0.0,0.36030150623600005,16.97629845952878,0.00011470636868958988,0.0,360.301506236,20.043142198999995,2
1753381696.692251,deepspeech,0.0,0.36030150623600005,16.97629845952878,0.00010609777855297518,0.0,360.301506236,20.043142198999995,2
1753381756.7227275,deepspeech,0.0,0.36030150623600005,16.97629845952878,0.00011747903251292897,0.0,360.301506236,20.043142198999995,2
1753381816.7576196,deepspeech,0.0,0.36030150623600005,16.97629845952878,0.00011981769688988927,0.0,360.301506236,20.043142198999995,2
1753381876.7929327,deepspeech,0.0,0.36030150623600005,16.97629845952878,0.00011661760313848258,0.0,360.301506236,20.043142198999995,2
