timestamp,function,workload,pressure,queue_length,utilization,response_time,service_time,theoretical_utilization,n_instances,action
2025-05-21 17:03:08,ffmpeg_0,None,0,0,0.0,None,None,0,0,1
2025-05-21 17:03:14,ffmpeg_0,None,0,0,9.254498714652957e-05,None,None,0,1,1
2025-05-21 17:03:20,ffmpeg_0,None,0,0,0.00014536082474226805,None,None,0,1,1
2025-05-21 17:03:26,ffmpeg_0,None,1.0,0.00012879117132394066,9.309462915601024e-05,0.333637259,0.333594295,0,1,1
2025-05-21 17:03:32,ffmpeg_0,0.18587330798840013,1.0,0.00012879117132394066,0.00010025575447570333,0.333637259,0.333594295,0.062006275137708206,1,1
2025-05-21 17:03:38,ffmpeg_0,0.18587330798840013,1.0,0.00012879117132394066,0.00011752577319587629,0.333637259,0.333594295,0.062006275137708206,1,1
2025-05-21 17:03:44,ffmpeg_0,0.3396909756609742,0.9705016335800369,0.00011819848061024492,0.00011384615384615384,0.320642693,0.320604798,0.10890655663420956,1,1
2025-05-21 17:03:51,ffmpeg_0,0.3396909756609742,0.9762612560304369,0.00011819848061024492,0.3389589743589744,0.320642693,0.320604798,0.10890655663420956,1,6
2025-05-21 17:03:57,ffmpeg_0,0.3396909756609742,1.0502832760748868,0.00010701980677231829,0.00011989664082687338,0.348458773,0.348421485,0.1183556341808955,1,1
2025-05-21 17:04:03,ffmpeg_0,0.32085300017570695,1.0427925580626154,0.00010701980677231829,0.3766843989769821,0.348458773,0.348421485,0.11179207878792506,1,6
2025-05-21 17:04:09,ffmpeg_0,0.32085300017570695,1.037244266127195,0.00010701980677231829,0.15358560411311054,0.348458773,0.348421485,0.11179207878792506,1,6
2025-05-21 17:04:15,ffmpeg_0,0.3785928291205651,0.9734528688703022,0.0001083576931542163,0.00011282051282051281,0.325946646,0.325911331,0.12338769284573893,1,1
2025-05-21 17:04:21,ffmpeg_0,0.3785928291205651,0.9760439856378101,0.0001083576931542163,0.00012213740458015266,0.325946646,0.325911331,0.12338769284573893,1,1
2025-05-21 17:04:27,ffmpeg_0,0.32347539253248025,1.0347245595611114,0.00010399732676360761,0.00011030927835051547,0.346746892,0.346710835,0.11215242344688899,1,1
2025-05-21 17:04:33,ffmpeg_0,0.32347539253248025,1.0317390026902413,0.00010399732676360761,9.025641025641026e-05,0.346746892,0.346710835,0.11215242344688899,1,1
2025-05-21 17:04:39,ffmpeg_0,0.32347539253248025,1.0292261863289522,0.00010399732676360761,0.2209497435897436,0.346746892,0.346710835,0.11215242344688899,1,6
2025-05-21 17:04:45,ffmpeg_0,0.31811763529072234,1.01812999566521,0.0001053569650768168,9.87146529562982e-05,0.343487612,0.343451427,0.10925795579446414,1,1
2025-05-21 17:04:51,ffmpeg_0,0.31811763529072234,1.0169009017358486,0.0001053569650768168,0.6957755102040817,0.343487612,0.343451427,0.10925795579446414,1,7
2025-05-21 17:04:57,ffmpeg_0,0.3188845184229348,0.9672378917172506,0.0003086039675380315,0.48313877551020407,0.326000467,0.325899893,0.10392443043339097,1,6
2025-05-21 17:05:03,ffmpeg_0,0.3188845184229348,0.9691055352751385,0.0003086039675380315,0.26015257731958763,0.326000467,0.325899893,0.10392443043339097,1,6
2025-05-21 17:05:09,ffmpeg_0,0.3188845184229348,0.9707717282147622,0.0003086039675380315,9.844559585492228e-05,0.326000467,0.325899893,0.10392443043339097,1,1
2025-05-21 17:05:15,ffmpeg_0,0.31436663913150936,0.9616598005155322,0.0001071225905750309,9.820971867007673e-05,0.322254133,0.322219616,0.10129509774416552,1,1
2025-05-21 17:05:21,ffmpeg_0,0.31436663913150936,0.9635068527625106,0.0001071225905750309,0.00010515463917525773,0.322254133,0.322219616,0.10129509774416552,1,1
2025-05-21 17:05:27,ffmpeg_0,0.3578751105812235,0.9539148688388874,9.774683138341243e-05,0.0001089974293059126,0.318312528,0.318281417,0.11390499730482352,1,1
2025-05-21 17:05:33,ffmpeg_0,0.3578751105812235,0.9559173040359635,9.774683138341243e-05,0.00010824742268041237,0.318312528,0.318281417,0.11390499730482352,1,1
2025-05-21 17:05:39,ffmpeg_0,0.3578751105812235,0.9577529706888125,9.774683138341243e-05,0.00011076923076923077,0.318312528,0.318281417,0.11390499730482352,1,1
2025-05-21 17:05:45,ffmpeg_0,0.39056969868284325,0.9818910779780152,0.00020320422078794323,0.21085478036175712,0.326078176,0.326011929,0.12733038087654247,1,6
2025-05-21 17:05:51,ffmpeg_0,0.39056969868284325,0.9826028331013438,0.00020320422078794323,9.641025641025641e-05,0.326078176,0.326011929,0.12733038087654247,1,1
2025-05-21 17:05:57,ffmpeg_0,0.4167748522575435,0.9813806970178931,9.323604643536288e-05,0.00010488431876606684,0.325430237,0.325399898,0.13561849441356974,1,1
2025-05-21 17:06:03,ffmpeg_0,0.4167748522575435,0.9820579279106985,9.323604643536288e-05,0.0001,0.325430237,0.325399898,0.13561849441356974,1,1
2025-05-21 17:06:09,ffmpeg_0,0.4167748522575435,0.9826876226309309,9.323604643536288e-05,0.334907969151671,0.325430237,0.325399898,0.13561849441356974,1,6
2025-05-21 17:06:15,ffmpeg_0,0.3434086787793422,0.9769323657126914,0.00012433411581385293,0.00010153846153846155,0.323257992,0.323217805,0.11099579937300909,1,1
2025-05-21 17:06:21,ffmpeg_0,0.3434086787793422,0.977684127709575,0.00012433411581385293,0.339021649484536,0.323257992,0.323217805,0.11099579937300909,1,6
2025-05-21 17:06:27,ffmpeg_0,0.3358807765526459,0.9783204964085219,0.0001406141553518952,9.693877551020408e-05,0.323234813,0.323189368,0.10855309589739885,1,1
