Timestamp,ResponseTime
1750854716.222908,14318.536999999998
1750854716.934521,27800.740999999998
1750854717.023133,41876.893000000004
1750854807.12054,14623.832999999999
1750854896.396694,14446.332
1750854896.489057,28896.324
1750854896.548091,43172.283
1750854896.87866,57327.894
1750854987.057811,14659.228000000001
1750854987.287196,28933.019
1750854987.321309,43280.29
1750854987.321938,57641.168999999994
1750855076.771378,14565.913
1750855076.931577,28834.712
1750855076.998009,43194.313
1750855077.008003,57644.046
1750855077.069922,72036.076
1750855166.611152,14686.807999999999
1750855166.730486,29044.171
1750855166.82001,43311.785
1750855166.824173,57889.511
1750855166.842911,72519.441
1750855166.848086,87082.913
1750855167.011675,101697.52
1750855167.07212,116304.379
1750855167.187473,130565.64199999999
1750855256.584239,55771.553
1750855256.974944,69809.644
1750855257.218091,84064.658
1750855257.366421,98407.78600000001
1750855346.662392,23691.203999999998
1750855346.756855,38167.257999999994
1750855347.045117,52337.62
1750855347.379743,66358.685
1750855347.380616,80872.18400000001
1750855347.502561,95215.93400000001
1750855437.305571,19807.592
1750855437.390751,34263.066
1750855437.550902,48442.743
1750855526.822894,14407.145999999999
1750855526.831885,29106.717
1750855527.063146,43587.859000000004
1750855527.234582,57786.736
1750855527.247679,72274.045
1750855527.327781,86727.981
1750855617.062884,14467.157000000001
1750855707.755801,14436.159
1750856248.144329,14519.312
1750856427.794062,14647.623
1750856517.604587,14382.945
1750856608.097902,14245.403
1750856608.129004,28677.346
1750856608.218064,43094.136
1750856608.244148,57419.981
1750856697.978122,14511.487000000001
1750856698.39185,28496.084
1750856787.630395,14518.074
1750856787.650334,29026.403
1750856787.85055,43217.043
1750856787.851314,57651.579
1750856787.883339,72150.73300000001
1750856877.858712,14368.536
1750856878.171171,28138.763000000003
1750856878.348518,42135.509999999995
1750856878.487092,56032.972
1750856878.503168,70125.571
1750856878.579234,84869.27
1750856878.630623,99362.31700000001
1750856967.951147,24420.506
1750856968.004213,38784.773
1750856968.008269,52996.456000000006
1750856968.174752,67059.00099999999
1750856968.205798,81203.43800000001
1750856968.658704,95154.94
1750857057.868914,20419.363
1750857057.961911,34719.763999999996
1750857058.325517,48833.139
1750857058.398603,63227.811
1750857058.433623,77770.922
1750857148.001931,14592.088
1750857148.403669,28667.339
1750857148.661244,42670.6
1750857238.044608,14707.530999999999
1750857238.069677,29212.331
1750857238.292494,43279.911
1750857238.301499,57637.799999999996
1750857238.462667,71565.974
1750857238.664031,85967.645
1750857238.751082,100399.46999999999
1750857328.225113,25370.212
